league;season:Integer;position:Integer;team;points:Integer;played:Integer;won:Integer;drawn:Integer;lost:Integer;goalsFor:Integer;goalsAgainst:Integer;goalsDifference:Double;maxPoints:Integer
Liga;2016;16;Deportivo La Corogne;36;38;8;12;18;43;61;-18.0;94
Liga;2016;17;CD Leganés;35;38;8;11;19;36;55;-19.0;94
Liga;2016;18;Sporting Gijón;31;38;7;10;21;42;72;-30.0;94
Liga;2016;19;CA Osasuna;22;38;4;10;24;40;94;-54.0;94
Liga;2016;20;Grenade CF;20;38;4;8;26;30;82;-52.0;94
Liga;2017;1;FC Barcelone;93;38;28;9;1;99;29;70.0;94
Liga;2017;2;Atlético de Madrid;79;38;23;10;5;58;22;36.0;94
Liga;2017;3;Real Madrid;76;38;22;10;6;94;44;50.0;94
Liga;2017;4;Valence CF;73;38;22;7;9;65;38;27.0;94
Liga;2017;5;Villarreal CF;61;38;18;7;13;57;50;7.0;94
Liga;2017;6;Betis Séville;60;38;18;6;14;60;61;-1.0;94
Liga;2017;7;Séville FC;58;38;17;7;14;49;58;-9.0;94
Liga;2017;8;Getafe CF;55;38;15;10;13;42;33;9.0;94
Liga;2017;9;SD Eibar;51;38;14;9;15;44;50;-6.0;94
Liga;2017;10;Girona FC;51;38;14;9;15;50;59;-9.0;94
Liga;2017;11;Espanyol Barcelone;49;38;12;13;13;36;42;-6.0;94
Liga;2017;12;Real Sociedad;49;38;14;7;17;66;59;7.0;94
Liga;2017;13;Celta Vigo;49;38;13;10;15;59;60;-1.0;94
Liga;2017;14;Deportivo Alavés;47;38;15;2;21;40;50;-10.0;94
Liga;2017;15;Levante UD;46;38;11;13;14;44;58;-14.0;94
Liga;2017;16;Athletic Bilbao;43;38;10;13;15;41;49;-8.0;94
Liga;2017;17;CD Leganés;43;38;12;7;19;34;51;-17.0;94
Liga;2017;18;Deportivo La Corogne;29;38;6;11;21;38;76;-38.0;94
Liga;2017;19;UD Las Palmas;22;38;5;7;26;24;74;-50.0;94
Liga;2017;20;Málaga CF;20;38;5;5;28;24;61;-37.0;94
Liga;2018;1;FC Barcelone;87;38;26;9;3;90;36;54.0;94
Liga;2018;2;Atlético de Madrid;76;38;22;10;6;55;29;26.0;94
Liga;2018;3;Real Madrid;68;38;21;5;12;63;46;17.0;94
Liga;2018;4;Valence CF;61;38;15;16;7;51;35;16.0;94
Liga;2018;5;Getafe CF;59;38;15;14;9;48;35;13.0;94
Liga;2018;6;Séville FC;59;38;17;8;13;62;47;15.0;94
Liga;2018;7;Espanyol Barcelone;53;38;14;11;13;48;50;-2.0;94
Liga;2018;8;Athletic Bilbao;53;38;13;14;11;41;45;-4.0;94
Liga;2018;9;Real Sociedad;50;38;13;11;14;45;46;-1.0;94
Liga;2018;10;Betis Séville;50;38;14;8;16;44;52;-8.0;94
Liga;2018;11;Deportivo Alavés;50;38;13;11;14;39;50;-11.0;94
Liga;2018;12;SD Eibar;47;38;11;14;13;46;50;-4.0;94
Liga;2018;13;CD Leganés;45;38;11;12;15;37;43;-6.0;94
Liga;2018;14;Villarreal CF;44;38;10;13;15;49;52;-3.0;94
Liga;2018;15;Levante UD;44;38;11;11;16;59;66;-7.0;94
Liga;2018;16;Real Valladolid;41;38;10;11;17;32;51;-19.0;94
Liga;2018;17;Celta Vigo;41;38;10;11;17;53;62;-9.0;94
Liga;2018;18;Girona FC;37;38;9;10;19;37;53;-16.0;94
Liga;2018;19;SD Huesca;33;38;7;12;19;43;65;-22.0;94
Liga;2018;20;Rayo Vallecano;32;38;8;8;22;41;70;-29.0;94
Bundesliga;2014;1;Bayern Munich;79;34;25;4;5;80;18;62.0;88
Bundesliga;2014;2;VfL Wolfsbourg;69;34;20;9;5;72;38;34.0;88
Bundesliga;2014;3;Borussia Mönchengladbach;66;34;19;9;6;53;26;27.0;88
Bundesliga;2014;4;Bayer Leverkusen;61;34;17;10;7;62;37;25.0;88
Bundesliga;2014;5;FC Augsbourg;49;34;15;4;15;43;43;0.0;88
Bundesliga;2014;6;Schalke 04;48;34;13;9;12;42;40;2.0;88
Bundesliga;2014;7;Borussia Dortmund;46;34;13;7;14;47;42;5.0;88
Bundesliga;2014;8;TSG 1899 Hoffenheim;44;34;12;8;14;49;55;-6.0;88
Bundesliga;2014;9;Eintracht Francfort;43;34;11;10;13;56;62;-6.0;88
Bundesliga;2014;10;Werder Brême;43;34;11;10;13;50;65;-15.0;88
Bundesliga;2014;11;FSV Mayence 05;40;34;9;13;12;45;47;-2.0;88
Bundesliga;2014;12;FC Cologne;40;34;9;13;12;34;40;-6.0;88
Bundesliga;2014;13;Hanovre 96;37;34;9;10;15;40;56;-16.0;88
Bundesliga;2014;14;VfB Stuttgart;36;34;9;9;16;42;60;-18.0;88
Bundesliga;2014;15;Hertha Berlin;35;34;9;8;17;36;52;-16.0;88
Bundesliga;2014;16;Hambourg SV;35;34;9;8;17;25;50;-25.0;88
Bundesliga;2014;17;SC Fribourg;34;34;7;13;14;36;47;-11.0;88
Bundesliga;2014;18;SC Paderborn 07;31;34;7;10;17;31;65;-34.0;88
Bundesliga;2015;1;Bayern Munich;88;34;28;4;2;80;17;63.0;88
Bundesliga;2015;2;Borussia Dortmund;78;34;24;6;4;82;34;48.0;88
Bundesliga;2015;3;Bayer Leverkusen;60;34;18;6;10;56;40;16.0;88
Bundesliga;2015;4;Borussia Mönchengladbach;55;34;17;4;13;67;50;17.0;88
Bundesliga;2015;5;Schalke 04;52;34;15;7;12;51;49;2.0;88
Bundesliga;2015;6;FSV Mayence;50;34;14;8;12;46;42;4.0;88
Bundesliga;2015;7;Hertha Berlin;50;34;14;8;12;42;42;0.0;88
Bundesliga;2015;8;VfL Wolfsbourg;45;34;12;9;13;47;49;-2.0;88
Bundesliga;2015;9;FC Cologne;43;34;10;13;11;38;42;-4.0;88
Bundesliga;2015;10;Hambourg SV;41;34;11;8;15;40;46;-6.0;88
Bundesliga;2015;11;FC Ingolstadt;40;34;10;10;14;33;42;-9.0;88
Bundesliga;2015;12;FC Augsbourg;38;34;9;11;14;42;52;-10.0;88
Bundesliga;2015;13;Werder Brême;38;34;10;8;16;50;65;-15.0;88
Bundesliga;2015;14;SV Darmstadt;38;34;9;11;14;38;53;-15.0;88
Bundesliga;2015;15;TSG Hoffenheim;37;34;9;10;15;39;54;-15.0;88
Bundesliga;2015;16;Eintracht Francfort;36;34;9;9;16;34;52;-18.0;88
Bundesliga;2015;17;VfB Stuttgart;33;34;9;6;19;50;75;-25.0;88
Bundesliga;2015;18;Hanovre 96;25;34;7;4;23;31;62;-31.0;88
Bundesliga;2016;1;Bayern Munich;82;34;25;7;2;89;22;67.0;88
Bundesliga;2016;2;RB Leipzig;67;34;20;7;7;66;39;27.0;88
Bundesliga;2016;3;Borussia Dortmund;64;34;18;10;6;72;40;32.0;88
Bundesliga;2016;4;TSG Hoffenheim;62;34;16;14;4;64;37;27.0;88
Bundesliga;2016;5;FC Cologne;49;34;12;13;9;51;42;9.0;88
Bundesliga;2016;6;Hertha Berlin;49;34;15;4;15;43;47;-4.0;88
Bundesliga;2016;7;SC Fribourg;48;34;14;6;14;42;60;-18.0;88
Bundesliga;2016;8;Werder Brême;45;34;13;6;15;61;64;-3.0;88
Bundesliga;2016;9;Borussia Mönchengladbach;45;34;12;9;13;45;49;-4.0;88
Bundesliga;2016;10;Schalke 04;43;34;11;10;13;45;40;5.0;88
Bundesliga;2016;11;Eintracht Francfort;42;34;11;9;14;36;43;-7.0;88
Bundesliga;2016;12;Bayer Leverkusen;41;34;11;8;15;53;55;-2.0;88
Bundesliga;2016;13;FC Augsbourg;38;34;9;11;14;35;51;-16.0;88
Bundesliga;2016;14;Hambourg SV;38;34;10;8;16;33;61;-28.0;88
Bundesliga;2016;15;FSV Mayence;37;34;10;7;17;44;55;-11.0;88
Bundesliga;2016;16;VfL Wolfsbourg;37;34;10;7;17;34;52;-18.0;88
Bundesliga;2016;17;FC Ingolstadt;32;34;8;8;18;36;57;-21.0;88
Bundesliga;2016;18;SV Darmstadt;25;34;7;4;23;28;63;-35.0;88
Bundesliga;2017;1;Bayern Munich;84;34;27;3;4;92;28;64.0;88
Bundesliga;2017;2;FC Schalke 04;63;34;18;9;7;53;37;16.0;88
Bundesliga;2017;3;TSG Hoffenheim;55;34;15;10;9;66;48;18.0;88
Bundesliga;2017;4;Borussia Dortmund;55;34;15;10;9;64;47;17.0;88
Bundesliga;2017;5;Bayer Leverkusen;55;34;15;10;9;58;44;14.0;88
Bundesliga;2017;6;RB Leipzig;53;34;15;8;11;57;53;4.0;88
Bundesliga;2017;7;VfB Stuttgart;51;34;15;6;13;36;36;0.0;88
Bundesliga;2017;8;Eintracht Francfort;49;34;14;7;13;45;45;0.0;88
Bundesliga;2017;9;Borussia Mönchengladbach;47;34;13;8;13;47;52;-5.0;88
Bundesliga;2017;10;Hertha Berlin;43;34;10;13;11;43;46;-3.0;88
Bundesliga;2017;11;Werder Brême;42;34;10;12;12;37;40;-3.0;88
Bundesliga;2017;12;FC Augsbourg;41;34;10;11;13;43;46;-3.0;88
Bundesliga;2017;13;Hanovre 96;39;34;10;9;15;44;54;-10.0;88
Bundesliga;2017;14;FSV Mayence 05;36;34;9;9;16;38;52;-14.0;88
Bundesliga;2017;15;SC Fribourg;36;34;8;12;14;32;56;-24.0;88
Bundesliga;2017;16;VfL Wolfsbourg;33;34;6;15;13;36;48;-12.0;88
Bundesliga;2017;17;Hambourg SV;31;34;8;7;19;29;53;-24.0;88
Bundesliga;2017;18;FC Cologne;22;34;5;7;22;35;70;-35.0;88
Bundesliga;2018;1;Bayern Munich;78;34;24;6;4;88;32;56.0;88
Bundesliga;2018;2;Borussia Dortmund;76;34;23;7;4;81;44;37.0;88
Bundesliga;2018;3;RB Leipzig;66;34;19;9;6;63;29;34.0;88
Bundesliga;2018;4;Bayer Leverkusen;58;34;18;4;12;69;52;17.0;88
Bundesliga;2018;5;Borussia Mönchengladbach;55;34;16;7;11;55;42;13.0;88
Bundesliga;2018;6;VfL Wolfsbourg;55;34;16;7;11;62;50;12.0;88
Bundesliga;2018;7;Eintracht Francfort;54;34;15;9;10;60;48;12.0;88
Bundesliga;2018;8;Werder Brême;53;34;14;11;9;58;49;9.0;88
Bundesliga;2018;9;TSG Hoffenheim;51;34;13;12;9;70;52;18.0;88
Bundesliga;2018;10;Fortuna Düsseldorf;44;34;13;5;16;49;65;-16.0;88
Bundesliga;2018;11;Hertha Berlin;43;34;11;10;13;49;57;-8.0;88
Bundesliga;2018;12;FSV Mayence 05;43;34;12;7;15;46;57;-11.0;88
Bundesliga;2018;13;SC Fribourg;36;34;8;12;14;46;61;-15.0;88
Bundesliga;2018;14;FC Schalke 04;33;34;7;9;17;37;55;-18.0;88
Bundesliga;2018;15;FC Augsbourg;32;34;8;8;18;51;71;-20.0;88
Bundesliga;2018;16;VfB Stuttgart;28;34;7;7;20;32;70;-38.0;88
Bundesliga;2018;17;Hanovre 96;21;34;5;6;23;31;71;-40.0;88
Bundesliga;2018;18;1. FC Nuremberg;19;34;3;10;21;26;68;-42.0;88
Premier League;2014;1;Chelsea FC;87;38;26;9;3;73;32;41.0;100
Premier League;2014;2;Manchester City;79;38;24;7;7;83;38;45.0;100
Premier League;2014;3;Arsenal FC;75;38;22;9;7;71;36;35.0;100
Premier League;2014;4;Manchester United;70;38;20;10;8;62;37;25.0;100
Premier League;2014;5;Tottenham Hotspur;64;38;19;8;11;58;53;5.0;100
Premier League;2014;6;Liverpool FC;62;38;18;8;12;52;48;4.0;100
Premier League;2014;7;Southampton FC;60;38;18;6;14;54;33;21.0;100
Premier League;2014;8;Swansea City;56;38;16;8;14;46;49;-3.0;100
Premier League;2014;9;Stoke City;54;38;15;9;14;48;45;3.0;100
Premier League;2014;10;Crystal Palace FC;48;38;13;9;16;47;51;-4.0;100
Premier League;2014;11;Everton FC;47;38;12;11;15;48;50;-2.0;100
Premier League;2014;12;West Ham United;47;38;12;11;15;44;47;-3.0;100
Premier League;2014;13;West Bromwich Albion;44;38;11;11;16;38;51;-13.0;100
Premier League;2014;14;Leicester City;41;38;11;8;19;46;55;-9.0;100
Premier League;2014;15;Newcastle United;39;38;10;9;19;40;63;-23.0;100
Premier League;2014;16;Sunderland AFC;38;38;7;17;14;31;53;-22.0;100
Premier League;2014;17;Aston Villa FC;38;38;10;8;20;31;57;-26.0;100
Premier League;2014;18;Hull City;35;38;8;11;19;33;51;-18.0;100
Premier League;2014;19;Burnley FC;33;38;7;12;19;28;53;-25.0;100
Premier League;2014;20;Queens Park Rangers;30;38;8;6;24;42;73;-31.0;100
Premier League;2015;1;Leicester City;81;38;23;12;3;68;36;32.0;100
Premier League;2015;2;Arsenal FC;71;38;20;11;7;65;36;29.0;100
Premier League;2015;3;Tottenham Hotspur;70;38;19;13;6;69;35;34.0;100
Premier League;2015;4;Manchester City;66;38;19;9;10;71;41;30.0;100
Premier League;2015;5;Manchester United;66;38;19;9;10;49;35;14.0;100
Premier League;2015;6;Southampton FC;63;38;17;9;11;55;39;16.0;100
Premier League;2015;7;West Ham United;62;38;16;14;8;65;51;14.0;100
Premier League;2015;8;Liverpool FC;60;38;16;12;10;63;50;13.0;100
Premier League;2015;9;Stoke City;51;38;14;9;14;41;55;-14.0;100
Premier League;2015;10;Chelsea FC;50;38;12;14;12;59;53;6.0;100
Premier League;2015;11;Everton FC;47;38;11;14;13;59;55;4.0;100
Premier League;2015;12;Swansea City;47;38;12;11;15;42;52;-10.0;100
Premier League;2015;13;Watford FC;45;38;12;9;17;40;50;-10.0;100
Premier League;2015;14;West Bromwich Albion;43;38;10;13;15;34;48;-14.0;100
Premier League;2015;15;Crystal Palace;42;38;11;9;18;39;51;-12.0;100
Premier League;2015;16;AFC Bournemouth;42;38;11;9;18;45;67;-22.0;100
Premier League;2015;17;Sunderland AFC;39;38;9;12;17;48;62;-14.0;100
Premier League;2015;18;Newcastle United;37;38;9;10;19;44;65;-21.0;100
Premier League;2015;19;Norwich City;34;38;9;7;22;39;67;-28.0;100
Premier League;2015;20;Aston Villa;17;38;3;8;27;27;76;-49.0;100
Premier League;2016;1;Chelsea FC;93;38;30;3;5;85;33;52.0;100
Premier League;2016;2;Tottenham Hotspur;86;38;26;8;4;86;26;60.0;100
Premier League;2016;3;Manchester City;78;38;23;9;6;80;39;41.0;100
Premier League;2016;4;Liverpool FC;76;38;22;10;6;78;42;36.0;100
Premier League;2016;5;Arsenal FC;75;38;23;6;9;77;44;33.0;100
Premier League;2016;6;Manchester United;69;38;18;15;5;54;29;25.0;100
Premier League;2016;7;Everton FC;61;38;17;10;11;62;44;18.0;100
Premier League;2016;8;Southampton FC;46;38;12;10;16;41;48;-7.0;100
Premier League;2016;9;AFC Bournemouth;46;38;12;10;16;55;67;-12.0;100
Premier League;2016;10;West Bromwich Albion;45;38;12;9;17;43;51;-8.0;100
Premier League;2016;11;West Ham United;45;38;12;9;17;47;64;-17.0;100
Premier League;2016;12;Leicester City;44;38;12;8;18;48;63;-15.0;100
Premier League;2016;13;Stoke City;44;38;11;11;16;41;56;-15.0;100
Premier League;2016;14;Crystal Palace;41;38;12;5;21;50;63;-13.0;100
Premier League;2016;15;Swansea City;41;38;12;5;21;45;70;-25.0;100
Premier League;2016;16;Burnley FC;40;38;11;7;20;39;55;-16.0;100
Premier League;2016;17;Watford FC;40;38;11;7;20;40;68;-28.0;100
Premier League;2016;18;Hull City;34;38;9;7;22;37;80;-43.0;100
Premier League;2016;19;Middlesbrough FC;28;38;5;13;20;27;53;-26.0;100
Premier League;2016;20;Sunderland AFC;24;38;6;6;26;29;69;-40.0;100
Premier League;2017;1;Manchester City;100;38;32;4;2;106;27;79.0;100
Premier League;2017;2;Manchester United;81;38;25;6;7;68;28;40.0;100
Premier League;2017;3;Tottenham Hotspur;77;38;23;8;7;74;36;38.0;100
Premier League;2017;4;Liverpool FC;75;38;21;12;5;84;38;46.0;100
Premier League;2017;5;Chelsea FC;70;38;21;7;10;62;38;24.0;100
Premier League;2017;6;Arsenal FC;63;38;19;6;13;74;51;23.0;100
Premier League;2017;7;Burnley FC;54;38;14;12;12;36;39;-3.0;100
Premier League;2017;8;Everton FC;49;38;13;10;15;44;58;-14.0;100
Premier League;2017;9;Leicester City;47;38;12;11;15;56;60;-4.0;100
Premier League;2017;10;Newcastle United;44;38;12;8;18;39;47;-8.0;100
Premier League;2017;11;Crystal Palace;44;38;11;11;16;45;55;-10.0;100
Premier League;2017;12;AFC Bournemouth;44;38;11;11;16;45;61;-16.0;100
Premier League;2017;13;West Ham United;42;38;10;12;16;48;68;-20.0;100
Premier League;2017;14;Watford FC;41;38;11;8;19;44;64;-20.0;100
Premier League;2017;15;Brighton & Hove Albion;40;38;9;13;16;34;54;-20.0;100
Premier League;2017;16;Huddersfield Town;37;38;9;10;19;28;58;-30.0;100
Premier League;2017;17;Southampton FC;36;38;7;15;16;37;56;-19.0;100
Premier League;2017;18;Swansea City;33;38;8;9;21;28;56;-28.0;100
Premier League;2017;19;Stoke City;33;38;7;12;19;35;68;-33.0;100
Premier League;2017;20;West Bromwich Albion;31;38;6;13;19;31;56;-25.0;100
Premier League;2018;1;Manchester City;98;38;32;2;4;95;23;72.0;100
Premier League;2018;2;Liverpool FC;97;38;30;7;1;89;22;67.0;100
Premier League;2018;3;Chelsea FC;72;38;21;9;8;63;39;24.0;100
Premier League;2018;4;Tottenham Hotspur;71;38;23;2;13;67;39;28.0;100
Premier League;2018;5;Arsenal FC;70;38;21;7;10;73;51;22.0;100
Premier League;2018;6;Manchester United;66;38;19;9;10;65;54;11.0;100
Premier League;2018;7;Wolverhampton Wanderers;57;38;16;9;13;47;46;1.0;100
Premier League;2018;8;Everton FC;54;38;15;9;14;54;46;8.0;100
Premier League;2018;9;Leicester City;52;38;15;7;16;51;48;3.0;100
Premier League;2018;10;West Ham United;52;38;15;7;16;52;55;-3.0;100
Premier League;2018;11;Watford FC;50;38;14;8;16;52;59;-7.0;100
Premier League;2018;12;Crystal Palace;49;38;14;7;17;51;53;-2.0;100
Premier League;2018;13;Newcastle United;45;38;12;9;17;42;48;-6.0;100
Premier League;2018;14;AFC Bournemouth;45;38;13;6;19;56;70;-14.0;100
Premier League;2018;15;Burnley FC;40;38;11;7;20;45;68;-23.0;100
Premier League;2018;16;Southampton FC;39;38;9;12;17;45;65;-20.0;100
Premier League;2018;17;Brighton & Hove Albion;36;38;9;9;20;35;60;-25.0;100
Premier League;2018;18;Cardiff City;34;38;10;4;24;34;69;-35.0;100
Premier League;2018;19;Fulham FC;26;38;7;5;26;34;81;-47.0;100
Premier League;2018;20;Huddersfield Town;16;38;3;7;28;22;76;-54.0;100
